No,ID,Dicaffeoylquinic_acid,Chlorogenic_acid,Cosmosiin,Luteolin_7_O_glucoside,Linarin,Apigenin,Luteolin,GenomeSize
A20007133a,BJ-01J-3-A,1390,164.2,126.4,3198,17.8,61,723.2,240
A20007134a,BJ-01J-3-B,985.1,113.4,372.6,5290,6.42,61.18,586.7,
A20007132a,BJ-01J-3-C,3404,261.7,568.1,3135,14200,118.9,469.8,
A20006908a,BJ-02J-1-A,3379,358.9,48.05,922.9,11080,19.58,310.3,160
A20006909a,BJ-02J-1-C,216.2,76.37,95.01,1330,15670,53.02,429.3,
A20006910a,BJ-02J-4-B,660.7,220.8,164.3,1846,29.43,90.15,634.3,200
A20006911a,BJ-02J-4-C,1694,233.1,194,1928,2458,162.1,787,
A20006912a,BJ-03J-1-A,757.2,154.7,337,1346,17320,190.9,729.1,160
A20006913a,BJ-03J-1-B,807.5,163.9,459.8,1604,15780,174.2,615.7,
A20006914a,BJ-03J-1-C,689.7,274.7,305.7,568.2,33870,308.3,512.2,
A20006915a,BJ-03J-2-A,1367,149.8,685.5,1906,23170,260.5,609.8,180
A20006916a,BJ-03J-2-B,829.3,136,109.1,1599,9113,62.33,585.8,
A20006917a,BJ-03J-2-C,2757,452.6,1222,3227,31020,184.7,403.4,
A20006918a,BJ-03J-3-A,619.9,67.96,49.23,117,8626,93.58,178.3,160
A20006919a,BJ-03J-3-B,684.7,66.86,687,715.3,21130,309.3,339,
A20007131a,BJ-03J-3-C,513.6,46.84,80.08,187.2,9231,100.7,181.2,
A20006921a,BJ-03J-4-A,927.3,130.3,23.5,899.6,20.81,14.62,357.9,280
A20006922a,BJ-03J-5-A,2875,249.6,103.2,497.2,8634,68.4,313.4,200
A20006923a,BJ-03J-5-B,2880,323.4,572.3,1377,25410,280.3,638.3,
A20006924a,BJ-03J-5-C,2801,316.9,529.4,1970,24290,276,669.2,
A20006925a,BJ-03J-6-A,597.3,81.66,156.1,3278,109.3,88.42,777.7,200
A20006926a,BJ-03J-6-B,2015,308,250.1,2302,16470,91.63,618.5,
