ID,Leaf_lenth,Leaf_width,Flower_diameter,Plant_Height,Plant_width,Flower_time
CK-YJ,8.16,4.48,14.79,98,159,168
AH-01W-1-A,6.42,4.32,15.66,83,144,184
AH-01W-1-B,6.2,3.96,14.65,96,98.5,184
AH-01W-1-C,6.38,3.86,13.37,110,126,184
BJ-01J-1-A,4.92,3.8,15.56,75,126,160
BJ-01J-1-B,4.24,3.06,15.33,82,130.5,160
BJ-01J-1-C,4.46,3.54,16.42,50,125,160
BJ-01J-2-A,2.82,2.02,17.02,55,97.5,195
BJ-01J-3-A,3.58,2.46,15.54,62,108.5,168
BJ-01J-3-B,3.62,2.98,14.21,72,107.5,168
BJ-01J-3-C,4.06,3.08,16.05,50,97.5,168
BJ-02J-1-A,4.3,3.12,11.8,98,134,160
BJ-02J-1-B,4.5,3.08,14.14,76,141,160
BJ-02J-1-C,3.88,2.58,13.77,73,141,160
BJ-02J-2-A,5.28,3.84,15.75,83,117.5,160
BJ-02J-2-B,4.68,3.44,14.86,42,77.5,160
BJ-02J-2-C,5.06,2.9,12.53,60,85,160
BJ-02J-3-A,3.16,2.22,13.11,48,97.5,168
BJ-02J-4-B,4,3.14,12.56,56,90,168
BJ-02J-4-C,3.76,2.82,13.59,44,72.5,168
BJ-03J-1-A,4.8,3.88,17.24,92,95,175
BJ-03J-1-B,4.84,3.84,14.2,80,100,175
BJ-03J-1-C,5.2,3.76,17.82,62,95,175
BJ-03J-2-A,4.48,3.64,13.96,115,160,168
BJ-03J-2-B,4.94,3.68,14.2,90,127.5,168
BJ-03J-2-C,5,4.06,12.78,95,145,168
BJ-03J-4-A,4.7,3.58,21.92,83,101.5,160
BJ-03J-5-A,6.48,4.88,16.22,115,131,184
BJ-03J-5-B,6.68,4.8,17.44,104,90,184
BJ-03J-5-C,4.54,3.12,13.17,83,123.5,184
BJ-03J-6-A,6.26,4.16,15.02,105,137.5,175
BJ-03J-6-B,4.68,3.2,14.91,92,97.5,175
BJ-03J-6-C,4.66,3.34,17.25,105,129,175
BJ-03J-7-A,4.26,3.08,13.97,86,118,175
BJ-03J-7-B,4.24,3.58,16.85,137,88.5,175
BJ-03J-7-C,4.58,3.84,17.06,95,123,175
BJ-03J-8-A,5.08,3.06,21.06,64,111.5,184
BJ-03J-8-C,4.56,3.48,15.47,116,132,184
BJ-04J-1-A,4.68,4.24,18.77,105,130,184
BJ-04J-1-B,5.76,4.18,16.72,125,136.5,184
BJ-04J-1-C,5.34,4.12,15.69,120,166.5,184
BJ-05J-1-B,3.32,2.12,15.07,45,84.5,168
BJ-05J-1-C,4,2.9,16.87,42,58.5,168
BJ-05J-2-A,4.86,3.64,11.7,64,137.5,168
BJ-05J-2-B,3.86,3.22,15.95,43,105,168
BJ-05J-2-C,4.5,3.4,15.17,74,138.5,168
BJ-05J-3-A,5,4,13.8,76,126,168
BJ-05J-4-A,3.16,2.1,18.26,23,36.5,184
BJ-05J-5-A,5.98,3.62,15.08,79,180,168
BJ-06J-1-A,5.14,3.6,14.54,50,88.5,160
BJ-06J-1-B,5.58,3.08,11.52,86,101.5,160
BJ-06J-1-C,5.96,4.1,9.64,84,82.5,160
BJ-06J-2-A,5.02,3.26,14.99,80,135.5,168
BJ-06J-2-B,4.68,3.16,13.15,70,111,168
BJ-06J-2-C,5.12,3.56,14.32,72,126.5,168
BJ-06J-3-A,5.12,3.54,12.61,74,129.5,168
BJ-06J-3-B,5.64,3.8,11.14,64,122,168
BJ-06J-3-C,7.18,3.9,12.51,70,140.5,168
BJ-07J-1-B,5.06,3.44,14.12,83,110,160
BJ-07J-1-C,5.72,2.84,11.2,86,113.5,160
GD-02Y-1-A,3.92,2.56,12.96,35,78.5,198
GX-01G-1-B,6.86,4.54,23.58,30,92.5,205
HB-02J-A,4.32,3.18,,62,59,160
HB-02J-B,4.68,3.24,17.66,50,99,160
HB-02J-C,4.22,2.54,,38,87.5,160
HB-02E-2-A,6.52,3.72,18.43,90,146,184
HB-02E-2-B,6.38,3.72,16.7,95,132,184
HB-02E-2-C,7.48,4.5,17.07,92,130,184
HB-05E-1-A,3.74,2.68,24.64,75,117.5,168
HB-05E-1-B,6.1,3.52,23.52,60,111.5,168
HB-05E-2-B,5.84,3.82,20.93,30,92.5,184
HB-05E-3-A,6.26,3.62,16.77,62,141,184
HB-05E-3-B,6.52,4.08,17.78,75,126.5,184
HB-06E-1-A,7.72,5.84,17.99,98,168,184
HB-06E-1-B,7.98,5.4,17.38,120,145,184
HB-06E-1-C,8.16,5.94,16.18,105,128.5,184
HB-07E-1-A,5.66,3.4,18.43,52,95,184
HB-07E-1-B,6.78,4.06,14.93,68,82.5,184
HB-07E-1-C,6.96,4.22,20.4,65,67.5,184
HB-07E-2-B,6.4,4.36,20.24,86,185,191
HB-07E-3-A,5.78,3.3,17.82,93,119.5,184
HB-07E-3-B,4.68,3.5,17.91,112,101.5,184
HB-07E-3-C,7.46,4.42,15.61,84,100,184
HB-07E-4-A,5.96,3.7,21.7,104,115,184
HB-07E-4-B,6.04,3.72,22.35,78,110.5,184
HB-07E-4-C,5.64,3.38,19.33,101,139,184
HB-07E-5-A,6.78,4.02,18.2,117,122.5,191
HB-07E-5-B,6.84,4.42,20.57,94,113.5,191
